name,email,contact_number,checking_balance,duration,credit_history,purpose,credit_amount,savings_balance,employment_years,installment_rate,personal_status,other_parties,residence_years,property,age,other_payment_plans,housing,existing_credits,job,dependents,own_telephone,foreign_worker
Zainab,zainab.81@gmail.com,923678722458.0,-31,47,all paid,furniture,7509,697,4,3,male married,none,4,real estate,35,stores,rent,2,unskilled resident,2,yes,yes
Fatima,fatima.86@gmail.com,923602564736.0,241,32,all paid,furniture,4094,796,1,3,female married,none,3,life insurance,38,stores,rent,2,skilled,1,yes,no
Maryam,maryam.29@gmail.com,923501486939.0,-735,65,critical,business,14906,61,1,3,male divorced,guarantor,1,life insurance,21,stores,rent,4,unskilled non-resident,2,no,no
Aisha,aisha.26@gmail.com,923808402051.0,8287,23,existing paid,car,1585,9445,10,2,female single,guarantor,4,car,65,none,free,1,management,0,yes,no
Khadijah,khadijah.41@gmail.com,923341266931.0,1549,16,existing paid,radio/tv,2909,9875,5,1,female single,none,2,none,35,none,own,1,skilled,0,yes,no
Ruqayyah,ruqayyah.95@gmail.com,923621209849.0,-681,65,critical,car,15925,93,1,3,male married,guarantor,1,car,27,stores,rent,4,unskilled resident,1,no,yes
Noor,noor.17@gmail.com,923532311310.0,12431,16,existing paid,education,1518,3939,5,2,male divorced,guarantor,1,car,39,none,own,2,management,0,yes,no
Sara,sara.93@gmail.com,923680451872.0,14197,6,existing paid,furniture,3586,4672,5,2,male married,none,4,none,50,none,own,2,skilled,0,yes,no
Layla,layla.68@gmail.com,923406284028.0,133,46,all paid,other,8552,777,4,2,female married,none,1,car,34,none,rent,3,skilled,0,yes,yes
Amira,amira.33@gmail.com,923173574218.0,309,26,all paid,repairs,5926,513,1,2,male married,none,3,real estate,29,stores,own,2,unskilled resident,1,no,yes
Hana,hana.50@gmail.com,923907308348.0,-226,24,delayed previously,appliance,9088,676,1,2,female single,none,4,none,45,stores,rent,2,skilled,2,yes,yes
Sana,sana.88@gmail.com,923966616964.0,-231,64,critical,repairs,15471,90,1,3,female married,none,3,life insurance,22,stores,free,4,unskilled non-resident,1,no,yes
Dina,dina.97@gmail.com,923781007818.0,-630,64,delayed previously,other,12057,26,0,4,female married,guarantor,1,car,24,bank,rent,3,unskilled resident,1,no,yes
Rania,rania.19@gmail.com,923841976666.0,-748,65,critical,education,16837,67,0,4,male divorced,co applicant,4,life insurance,22,bank,rent,3,unskilled resident,2,no,yes
